Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random04.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 49842.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random05.param, Compact : noch, Number : O0, Model : model.eprime, Solver : minion, Options : SolverNodes, Time : 3426570.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random06.param, Compact : compact, Number : O0, Model : model.eprime, Solver : minion, Options : SolverNodes, Time : 3449139.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random12.param, Compact : noch, Number : O0, Model : model.eprime, Solver : minion, Options : SolverNodes, Time : 3450254.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random13.param, Compact : compact, Number : O0, Model : model.eprime, Solver : minion, Options : SolverNodes, Time : 3310652.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random15.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 145357.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random15.param, Compact : noch, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 145357.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random23.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 146701.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random23.param, Compact : noch, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 146701.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random25.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 182766.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random25.param, Compact : noch, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 182766.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random27.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 178829.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random27.param, Compact : noch, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 178829.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random29.param, Compact : compact, Number : O0, Model : model.eprime, Solver : minion, Options : SolverTotalTime, Time : 356.569, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random30.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATVars, Time : 27766.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random31.param, Compact : compact, Number : O0, Model : model.eprime, Solver : minion, Options : SolverNodes, Time : 3394333.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random31.param, Compact : noch, Number : O0, Model : model.eprime, Solver : minion, Options : SolverNodes, Time : 3420750.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random38.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATVars, Time : 27727.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random50.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATVars, Time : 27541.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random51.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATVars, Time : 27592.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random59.param, Compact : compact, Number : O2, Model : model.eprime, Solver : lingeling, Options : SATVars, Time : 27762.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random68.param, Compact : compact, Number : O0, Model : model.eprime, Solver : minion, Options : SolverNodes, Time : 3353991.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : random68.param, Compact : noch, Number : O0, Model : model.eprime, Solver : minion, Options : SolverNodes, Time : 3353828.0, 
Problem : csplib-prob001, Essence : CarSequencing.essence, Parameters : ReginPuget3.param, Compact : compact, Number : O0, Model : model.eprime, Solver : lingeling, Options : SATClauses, Time : 72587.0, 
Problem : csplib-prob002, Essence : TemplateDesign.essence, Parameters : catfood_3.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : minion, Options : SolverTotalTime, Time : 599.636, 
Problem : csplib-prob002, Essence : TemplateDesign.essence, Parameters : catfood_3.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : minion, Options : SolverTotalTime, Time : 599.202, 
Problem : csplib-prob002, Essence : TemplateDesign.essence, Parameters : herbs_3.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : minion, Options : SolverTotalTime, Time : 599.238, 
Problem : csplib-prob002, Essence : TemplateDesign.essence, Parameters : herbs_3.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : minion, Options : SolverTotalTime, Time : 599.653, 
Problem : csplib-prob006, Essence : GolombRuler.essence, Parameters : 01.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 37.0, 
Problem : csplib-prob006, Essence : GolombRuler.essence, Parameters : 01.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 9.0, 
Problem : csplib-prob006, Essence : GolombRuler.essence, Parameters : 02.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 3.0, 
Problem : csplib-prob006, Essence : GolombRuler.essence, Parameters : 02.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATVars, Time : 4.0, 
Problem : csplib-prob006, Essence : GolombRuler.essence, Parameters : 05.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 47767.0, 
Problem : csplib-prob006, Essence : GolombRuler.essence, Parameters : 05.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SATClauses, Time : 14151.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-0050.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATVars, Time : 43068.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-0050.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SATVars, Time : 2595.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-0050.param, Compact : noch, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SATVars, Time : 2595.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-0400.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 3601.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-0600.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 5401.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-0800.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 7201.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-0800.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 799.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-0800.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATVars, Time : 800.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-1200.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 10801.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-1200.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 1199.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-1200.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATVars, Time : 1200.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-1400.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 12601.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-1600.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 14401.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 02-1800.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 16201.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0050.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATVars, Time : 43091.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0050.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SATVars, Time : 2642.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0050.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : minion, Options : SolverTotalTime, Time : 22.7605, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0050.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 36291.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0050.param, Compact : noch, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SATVars, Time : 2642.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0050.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATVars, Time : 668.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0200.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 85325.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0400.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SavileRowTotalTime, Time : 628.147, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0600.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SavileRowTotalTime, Time : 611.86, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-0800.param, Compact : compact, Number : O2, Model : model_1.eprime, Solver : lingeling, Options : SavileRowTotalTime, Time : 617.411, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-1000.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATVars, Time : 13968.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-1200.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATVars, Time : 16768.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-1600.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATVars, Time : 22368.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-1800.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 39103291.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-1800.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATVars, Time : 25168.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 03-2000.param, Compact : noch, Number : O0, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 48248091.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 04-0050.param, Compact : compact, Number : O0, Model : model_1.eprime, Solver : lingeling, Options : SATVars, Time : 43113.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 04-0050.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATClauses, Time : 62005.0, 
Problem : csplib-prob006-decision, Essence : GolombRuler.essence, Parameters : 04-0800.param, Compact : noch, Number : O2, Model : model_2.eprime, Solver : lingeling, Options : SATVars, Time : 70033.0, 
